id,kind,section,deck,level,promptLine,question,choiceA,choiceB,choiceC,choiceD,correct,explanationA,explanationB,explanationC,explanationD,tags,difficulty
foundation1-001,vocab,Foundation,Foundation 1,HSK1,nǐ hǎo — 你好,What does this mean?,Hello,Goodbye,Thank you,Good morning,A,Correct! 你好 (nǐ hǎo) is the standard greeting meaning 'hello',Goodbye is 再见 (zài jiàn),Thank you is 谢谢 (xiè xie),Good morning is 早上好 (zǎo shang hǎo),greeting;basic,1
foundation1-002,vocab,Foundation,Foundation 1,HSK1,zài jiàn — 再见,What does this mean?,Hello,Goodbye,Sorry,Please,B,Hello is 你好 (nǐ hǎo),Correct! 再见 (zài jiàn) means 'goodbye',Sorry is 对不起 (duì bu qǐ),Please is 请 (qǐng),greeting;basic,1
foundation1-003,vocab,Foundation,Foundation 1,HSK1,xiè xie — 谢谢,What does this mean?,You're welcome,Sorry,Thank you,Excuse me,C,You're welcome is 不客气 (bú kè qi),Sorry is 对不起 (duì bu qǐ),Correct! 谢谢 (xiè xie) means 'thank you',Excuse me is 不好意思 (bù hǎo yì si),courtesy;basic,1
foundation1-004,vocab,Foundation,Foundation 1,HSK1,wǒ — 我,What does this mean?,You,He,I/Me,We,C,You is 你 (nǐ),He is 他 (tā),Correct! 我 (wǒ) means 'I' or 'me',We is 我们 (wǒ men),pronoun;basic,1
foundation1-005,vocab,Foundation,Foundation 1,HSK1,nǐ — 你,What does this mean?,I,You,He,She,B,I is 我 (wǒ),Correct! 你 (nǐ) means 'you',He is 他 (tā),She is 她 (tā),pronoun;basic,1
foundation1-006,vocab,Foundation,Foundation 1,HSK1,tā — 他,What does this mean?,I,You,He/Him,It,C,I is 我 (wǒ),You is 你 (nǐ),Correct! 他 (tā) means 'he' or 'him',It is 它 (tā),pronoun;basic,1
foundation1-007,vocab,Foundation,Foundation 1,HSK1,shì — 是,What does this mean?,To be,To have,To go,To come,A,Correct! 是 (shì) is the verb 'to be',To have is 有 (yǒu),To go is 去 (qù),To come is 来 (lái),verb;basic,1
foundation1-008,vocab,Foundation,Foundation 1,HSK1,yǒu — 有,What does this mean?,To be,To have,To want,To know,B,To be is 是 (shì),Correct! 有 (yǒu) means 'to have' or 'there is/are',To want is 要 (yào),To know is 知道 (zhī dào),verb;basic,1
foundation1-009,vocab,Foundation,Foundation 1,HSK1,bù — 不,What does this mean?,Yes,Not/No,Also,Very,B,Yes is 是 (shì),Correct! 不 (bù) is the negation particle meaning 'not' or 'no',Also is 也 (yě),Very is 很 (hěn),adverb;basic,1
foundation1-010,vocab,Foundation,Foundation 1,HSK1,de — 的,What does this particle do?,Marks possession,Marks past tense,Marks questions,Marks location,A,Correct! 的 (de) is the possessive particle (like 's in English),Past tense is marked by 了 (le),Questions use 吗 (ma),Location uses 在 (zài),particle;grammar,1
foundation1-011,vocab,Foundation,Foundation 1,HSK1,men — 们,What does this character do?,Makes verbs past tense,Makes pronouns plural,Makes adjectives comparative,Makes nouns possessive,B,Past tense uses 了 (le),"Correct! 们 (men) makes pronouns plural: 我们 (we), 你们 (you all)",Comparative uses 更 (gèng),Possessive uses 的 (de),particle;grammar,1
foundation1-012,vocab,Foundation,Foundation 1,HSK1,hěn — 很,What does this mean?,Not,Very,Also,Too,B,Not is 不 (bù),Correct! 很 (hěn) means 'very',Also is 也 (yě),Too is 太 (tài),adverb;basic,1
foundation1-013,vocab,Foundation,Foundation 1,HSK1,yě — 也,What does this mean?,Very,Not,Also/Too,Still,C,Very is 很 (hěn),Not is 不 (bù),Correct! 也 (yě) means 'also' or 'too',Still is 还 (hái),adverb;basic,1
foundation1-014,vocab,Foundation,Foundation 1,HSK1,rén — 人,What does this mean?,Person,Country,Family,Friend,A,Correct! 人 (rén) means 'person' or 'people',Country is 国 (guó),Family is 家 (jiā),Friend is 朋友 (péng you),noun;basic,1
foundation1-015,vocab,Foundation,Foundation 1,HSK1,míng zi — 名字,What does this mean?,Age,Name,Address,Phone,B,Age is 年龄 (nián líng),Correct! 名字 (míng zi) means 'name',Address is 地址 (dì zhǐ),Phone is 电话 (diàn huà),noun;basic,1
foundation1-016,vocab,Foundation,Foundation 1,HSK1,shén me — 什么,What does this mean?,Who,When,What,Where,C,Who is 谁 (shuí),When is 什么时候 (shén me shí hou),Correct! 什么 (shén me) means 'what',Where is 哪里 (nǎ lǐ),question;pronoun,1
foundation1-017,vocab,Foundation,Foundation 1,HSK1,shuí — 谁,What does this mean?,What,Who,How,Why,B,What is 什么 (shén me),Correct! 谁 (shuí) means 'who',How is 怎么 (zěn me),Why is 为什么 (wèi shén me),question;pronoun,1
foundation1-018,vocab,Foundation,Foundation 1,HSK1,nǎ — 哪,What does this mean?,That,This,Which,Every,C,That is 那 (nà),This is 这 (zhè),Correct! 哪 (nǎ) means 'which' (used in questions),Every is 每 (měi),question;pronoun,1
