id,kind,chapter,section,deck,promptLine,answer,tags,choice_A,choice_B,choice_C,choice_D,difficulty
beginner1-001,vocab,1,"Beginner","Beginner 1","wǒ — 我","I",beginner,"I","you","my","name",1
beginner1-002,vocab,1,"Beginner","Beginner 1","nǐ — 你","you",beginner,"you","I","your","sorry",1
beginner1-003,vocab,1,"Beginner","Beginner 1","wǒ de — 我的","my",beginner,"my","your","name","I",1
beginner1-004,vocab,1,"Beginner","Beginner 1","nǐ de — 你的","your",beginner,"your","my","you","name",1
beginner1-005,vocab,1,"Beginner","Beginner 1","míngzi — 名字","name",beginner,"name","sorry","hello","thank you",1
beginner1-006,vocab,1,"Beginner","Beginner 1","nǐ hǎo — 你好","hello",beginner,"hello","sorry","thank you","goodbye",1
beginner1-007,vocab,1,"Beginner","Beginner 1","xièxie — 谢谢","thank you",beginner,"thank you","sorry","hello","please",1
beginner1-008,vocab,1,"Beginner","Beginner 1","duìbuqǐ — 对不起","sorry",beginner,"sorry","thank you","hello","name",1
beginner1-009,vocab,1,"Beginner","Beginner 1","I","wǒ — 我",beginner|reverse,"wǒ — 我","nǐ — 你","míngzi — 名字","xièxie — 谢谢",1
beginner1-010,vocab,1,"Beginner","Beginner 1","you","nǐ — 你",beginner|reverse,"nǐ — 你","wǒ — 我","nǐ de — 你的","duìbuqǐ — 对不起",1
beginner1-011,vocab,1,"Beginner","Beginner 1","my","wǒ de — 我的",beginner|reverse,"wǒ de — 我的","nǐ de — 你的","wǒ — 我","míngzi — 名字",1
beginner1-012,vocab,1,"Beginner","Beginner 1","your","nǐ de — 你的",beginner|reverse,"nǐ de — 你的","wǒ de — 我的","nǐ — 你","xièxie — 谢谢",1
beginner1-013,vocab,1,"Beginner","Beginner 1","name","míngzi — 名字",beginner|reverse,"míngzi — 名字","duìbuqǐ — 对不起","nǐ hǎo — 你好","xièxie — 谢谢",1
beginner1-014,vocab,1,"Beginner","Beginner 1","hello","nǐ hǎo — 你好",beginner|reverse,"nǐ hǎo — 你好","xièxie — 谢谢","duìbuqǐ — 对不起","míngzi — 名字",1
